,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Souillac,MU,-20.5167,57.5167,70.77,73,10,10.02
1,1,Bredasdorp,ZA,-34.5322,20.0403,66.99,74,70,13.67
2,2,Bjornevatn,NO,69.6672,29.9847,43.14,87,75,8.05
3,3,Carnarvon,AU,-24.8667,113.6333,65.48,67,0,25.3
4,4,Alta Floresta,BR,-9.8756,-56.0861,96.3,36,79,2.84
5,5,Kalmunai,LK,7.4167,81.8167,79.3,85,95,5.37
6,6,Busselton,AU,-33.65,115.3333,50.31,88,0,7.31
7,7,Henties Bay,,-22.116,14.2845,61.52,83,7,11.61
8,8,Korla,CN,41.7597,86.1469,56.86,22,48,1.95
9,9,Hofn,IS,64.2539,-15.2082,41.02,81,40,4.61
10,10,Castro,BR,-24.7911,-50.0119,75.29,60,50,1.07
11,11,Salacgriva,LV,57.7536,24.3581,51.4,82,96,7.99
12,12,Kashi,CN,39.4547,75.9797,58.98,21,100,1.54
13,13,Dikson,RU,73.5069,80.5464,31.93,85,65,12.97
14,14,Ushuaia,AR,-54.8,-68.3,56.86,41,0,9.22
15,15,Mahebourg,MU,-20.4081,57.7,70.25,71,9,10.2
16,16,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,74,90,16.31
17,17,Alcantara,BR,-2.4089,-44.4147,93.4,58,43,13.89
18,18,Usinsk,RU,65.9939,57.5281,41.72,89,100,17.54
19,19,Narsaq,GL,60.9167,-46.05,34.02,71,100,4.32
20,20,Talara,PE,-4.5772,-81.2719,72.36,64,0,11.5
21,21,Jamestown,US,42.097,-79.2353,49.59,44,75,20.0
22,22,Mar Del Plata,AR,-38.0023,-57.5575,64.42,78,20,14.0
23,23,Hun,LY,29.1268,15.9477,78.03,35,27,11.88
24,24,Andros Town,BS,24.7,-77.7667,84.16,59,0,10.83
25,25,Clyde River,CA,70.4692,-68.5914,24.93,90,100,18.81
26,26,Lebu,CL,-37.6167,-73.65,59.34,74,46,7.11
27,27,Bandarbeyla,SO,9.4942,50.8122,78.48,81,0,8.66
28,28,San Andres,CO,12.5847,-81.7006,86.02,74,20,9.22
29,29,Ilulissat,GL,69.2167,-51.1,35.62,93,100,3.44
30,30,Salalah,OM,17.0151,54.0924,80.69,74,0,4.61
31,31,Daimiel,ES,39.07,-3.615,84.18,29,40,8.05
32,32,Tessalit,ML,20.1986,1.0114,96.49,11,6,13.8
33,33,Bristol,US,41.8334,-71.1662,62.74,86,100,3.8
34,34,Adrar,MR,20.5022,-10.0711,100.99,7,9,15.01
35,35,Ombessa,CM,4.603,11.2565,81.18,76,46,1.7
36,36,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,61,0,20.71
37,37,Nefteyugansk,RU,61.0998,72.6035,41.29,85,100,11.12
38,38,Krasnyy Yar,RU,46.5331,48.3456,51.73,58,10,3.96
39,39,Thunder Bay,CA,48.4001,-89.3168,30.87,65,99,17.74
40,40,Atar,MR,20.5169,-13.0499,102.9,12,38,9.33
41,41,Georgetown,MY,5.4112,100.3354,82.33,80,20,0.0
42,42,Cidreira,BR,-30.1811,-50.2056,64.4,87,33,13.02
43,43,East London,ZA,-33.0153,27.9116,70.43,84,73,1.25
44,44,Torbay,CA,47.6666,-52.7314,60.28,97,100,32.21
45,45,Punta Arenas,CL,-53.15,-70.9167,59.11,36,0,27.63
